date       ,oven_id ,layer_id ,lamp_id              ,anomaly_accumulation_hour ,relative_days ,relative_days_bias ,hour_bias ,power_setup ,in_temperature ,out_temperature ,A_temperature ,B_temperature ,anomaly_total_number
2022-01-14 ,      0 ,       2 ,38_116               ,       4179.0             ,           18 ,                25 ,      377 ,       55.5 ,          20.3 ,           24.8 ,         24.2 ,         22.4 ,                   2
2022-02-19 ,      0 ,       2 ,51                   ,       4919.0             ,           54 ,                36 ,      740 ,       57.5 ,          20.3 ,           24.8 ,         24.2 ,         22.4 ,                   1
2022-03-28 ,      0 ,       2 ,63_93                ,       5727.0             ,           91 ,                37 ,      808 ,       61.5 ,          20.3 ,           24.8 ,         24.2 ,         22.4 ,                   2
2022-04-24 ,      0 ,       2 ,15_95_77             ,       6203.0             ,          118 ,                27 ,      476 ,       63.5 ,          20.3 ,           24.8 ,         24.2 ,         22.4 ,                   3
2022-04-29 ,      0 ,       2 ,15_89_113            ,       6293.0             ,          123 ,                 5 ,       90 ,       63.5 ,          20.3 ,           24.8 ,         24.2 ,         22.4 ,                   3
2022-05-09 ,      0 ,       2 ,25_91_97             ,       6486.0             ,          133 ,                10 ,      193 ,       63.5 ,          20.3 ,           24.8 ,         24.2 ,         22.4 ,                   3
2022-05-13 ,      0 ,       2 ,38_46_58             ,       6554.0             ,          137 ,                 4 ,       68 ,       65.5 ,          20.3 ,           24.8 ,         24.2 ,         22.4 ,                   3
2022-05-24 ,      0 ,       2 ,13_44                ,       6772.0             ,          148 ,                11 ,      218 ,       65.5 ,          20.3 ,           24.8 ,         24.2 ,         22.4 ,                   2
2022-06-01 ,      0 ,       2 ,55                   ,       6934.0             ,          156 ,                 8 ,      162 ,       65.5 ,          20.3 ,           24.8 ,         24.2 ,         22.4 ,                   1
2022-06-06 ,      0 ,       2 ,38_59                ,       7012.0             ,          161 ,                 5 ,       78 ,       70.5 ,          20.3 ,           24.8 ,         24.2 ,         22.4 ,                   2
2022-06-16 ,      0 ,       2 ,76_87_89             ,       7212.0             ,          171 ,                10 ,      200 ,       70.5 ,          20.3 ,           24.8 ,         24.2 ,         22.4 ,                   3
2022-06-23 ,      0 ,       2 ,29_117               ,       7335.0             ,          178 ,                 7 ,      123 ,       70.5 ,          20.3 ,           24.8 ,         24.2 ,         22.4 ,                   2
2022-06-28 ,      0 ,       2 ,3_65_79              ,       7419.0             ,          183 ,                 5 ,       84 ,       70.5 ,          20.3 ,           24.8 ,         24.2 ,         22.4 ,                   3
2022-07-07 ,      0 ,       2 ,17_104               ,       7496.429938708341  ,          192 ,                 9 ,       77 ,       70.5 ,          20.3 ,           24.8 ,         24.2 ,         22.4 ,                   2
2022-08-15 ,      0 ,       2 ,9_109                ,       7958.0             ,          231 ,                39 ,      461 ,       70.5 ,          20.3 ,           24.8 ,         24.2 ,         22.4 ,                   2
2022-01-17 ,      0 ,       3 ,56_98_102            ,       5848.0             ,           21 ,                25 ,      377 ,       61.5 ,          20.3 ,           24.8 ,         23.5 ,         23.1 ,                   3
2022-01-25 ,      0 ,       3 ,34_77_85             ,       6000.0             ,           29 ,                 8 ,      152 ,       61.5 ,          20.3 ,           24.8 ,         23.5 ,         23.1 ,                   3
2022-02-17 ,      0 ,       3 ,70_110               ,       6421.0             ,           52 ,                23 ,      421 ,       63.5 ,          20.3 ,           24.8 ,         23.5 ,         23.1 ,                   2
2022-02-27 ,      0 ,       3 ,64_68_118            ,       6615.0             ,           62 ,                10 ,      194 ,       65.5 ,          20.3 ,           24.8 ,         23.5 ,         23.1 ,                   3
2022-03-10 ,      0 ,       3 ,111 _114             ,       6811.0             ,           73 ,                11 ,      196 ,       65.5 ,          20.3 ,           24.8 ,         23.5 ,         23.1 ,                   2
2022-03-23 ,      0 ,       3 ,19_66_83_101         ,       7021.0             ,           86 ,                13 ,      210 ,       70.5 ,          20.3 ,           24.8 ,         23.5 ,         23.1 ,                   4
2022-04-11 ,      0 ,       3 ,60_79_98             ,       7393.0             ,          105 ,                19 ,      372 ,       70.5 ,          20.3 ,           24.8 ,         23.5 ,         23.1 ,                   3
2022-04-24 ,      0 ,       3 ,43_6_67              ,       7599.0             ,          118 ,                13 ,      206 ,       70.5 ,          20.3 ,           24.8 ,         23.5 ,         23.1 ,                   3
2022-05-06 ,      0 ,       3 ,21_81_107            ,       7817.0             ,          130 ,                12 ,      218 ,       70.5 ,          20.3 ,           24.8 ,         23.5 ,         23.1 ,                   3
2022-05-11 ,      0 ,       3 ,15_113               ,       7886.0             ,          135 ,                 5 ,       69 ,       70.5 ,          20.3 ,           24.8 ,         23.5 ,         23.1 ,                   2
2022-05-23 ,      0 ,       3 ,23_95_121            ,       8117.0             ,          147 ,                12 ,      231 ,       75.5 ,          20.3 ,           24.8 ,         23.5 ,         23.1 ,                   3
2022-05-29 ,      0 ,       3 ,85_109               ,       8223.0             ,          153 ,                 6 ,      106 ,       75.5 ,          20.3 ,           24.8 ,         23.5 ,         23.1 ,                   2
2022-06-11 ,      0 ,       3 ,65_76                ,       8366.309352808556  ,          166 ,                13 ,      143 ,       75.5 ,          20.3 ,           24.8 ,         23.5 ,         23.1 ,                   2
2022-06-20 ,      0 ,       3 ,9_24_40              ,       8516.624799567671  ,          175 ,                 9 ,      150 ,       75.5 ,          20.3 ,           24.8 ,         23.5 ,         23.1 ,                   3
2022-07-04 ,      0 ,       3 ,45_78                ,       8750.44882785963   ,          189 ,                14 ,      233 ,       75.5 ,          20.3 ,           24.8 ,         23.5 ,         23.1 ,                   2
2022-07-18 ,      0 ,       3 ,64_91                ,       8984.272856151587  ,          203 ,                14 ,      233 ,       75.5 ,          20.3 ,           24.8 ,         23.5 ,         23.1 ,                   2
2022-08-06 ,      0 ,       3 ,92_103               ,       9172.0             ,          222 ,                19 ,      187 ,       80.5 ,          20.3 ,           24.8 ,         23.5 ,         23.1 ,                   2
2022-08-15 ,      0 ,       3 ,12_80_105            ,       9451.9209127355    ,          231 ,                 9 ,      279 ,       80.5 ,          20.3 ,           24.8 ,         23.5 ,         23.1 ,                   3
2022-01-04 ,      0 ,       4 ,31                   ,       4822.0             ,            8 ,                25 ,      377 ,       57.5 ,          20.3 ,           24.8 ,         24.8 ,         25.7 ,                   1
2022-03-04 ,      0 ,       4 ,84                   ,       5959.0             ,           67 ,                59 ,     1137 ,       61.5 ,          20.3 ,           24.8 ,         24.8 ,         25.7 ,                   1
2022-03-10 ,      0 ,       4 ,65                   ,       6045.0             ,           73 ,                 6 ,       86 ,       63.5 ,          20.3 ,           24.8 ,         24.8 ,         25.7 ,                   1
2022-03-15 ,      0 ,       4 ,77_78                ,       6148.0             ,           78 ,                 5 ,      103 ,       63.5 ,          20.3 ,           24.8 ,         24.8 ,         25.7 ,                   2
2022-03-21 ,      0 ,       4 ,21                   ,       6222.0             ,           84 ,                 6 ,       74 ,       63.5 ,          20.3 ,           24.8 ,         24.8 ,         25.7 ,                   1
2022-04-01 ,      0 ,       4 ,12_28                ,       6445.0             ,           95 ,                11 ,      223 ,       63.5 ,          20.3 ,           24.8 ,         24.8 ,         25.7 ,                   2
2022-04-14 ,      0 ,       4 ,10_82                ,       6632.0             ,          108 ,                13 ,      187 ,       65.5 ,          20.3 ,           24.8 ,         24.8 ,         25.7 ,                   2
2022-04-24 ,      0 ,       4 ,80                   ,       6829.0             ,          118 ,                10 ,      197 ,       65.5 ,          20.3 ,           24.8 ,         24.8 ,         25.7 ,                   1
2022-04-26 ,      0 ,       4 ,112                  ,       6846.0             ,          120 ,                 2 ,       17 ,       65.5 ,          20.3 ,           24.8 ,         24.8 ,         25.7 ,                   1
2022-05-13 ,      0 ,       4 ,117                  ,       7029.0             ,          137 ,                17 ,      183 ,       70.5 ,          20.3 ,           24.8 ,         24.8 ,         25.7 ,                   1
2022-05-15 ,      0 ,       4 ,109                  ,       7064.0             ,          139 ,                 2 ,       35 ,       70.5 ,          20.3 ,           24.8 ,         24.8 ,         25.7 ,                   1
2022-05-25 ,      0 ,       4 ,106                  ,       7223.0             ,          149 ,                10 ,      159 ,       70.5 ,          20.3 ,           24.8 ,         24.8 ,         25.7 ,                   1
2022-05-27 ,      0 ,       4 ,107                  ,       7254.0             ,          151 ,                 2 ,       31 ,       70.5 ,          20.3 ,           24.8 ,         24.8 ,         25.7 ,                   1
2022-05-28 ,      0 ,       4 ,57                   ,       7260.0             ,          152 ,                 1 ,        6 ,       70.5 ,          20.3 ,           24.8 ,         24.8 ,         25.7 ,                   1
2022-06-07 ,      0 ,       4 ,102                  ,       7450.0             ,          162 ,                10 ,      190 ,       70.5 ,          20.3 ,           24.8 ,         24.8 ,         25.7 ,                   1
2022-06-09 ,      0 ,       4 ,16                   ,       7487.0             ,          164 ,                 2 ,       37 ,       70.5 ,          20.3 ,           24.8 ,         24.8 ,         25.7 ,                   1
2022-06-16 ,      0 ,       4 ,26                   ,       7606.0             ,          171 ,                 7 ,      119 ,       70.5 ,          20.3 ,           24.8 ,         24.8 ,         25.7 ,                   1
2022-06-25 ,      0 ,       4 ,114_116              ,       7755.0             ,          180 ,                 9 ,      149 ,       70.5 ,          20.3 ,           24.8 ,         24.8 ,         25.7 ,                   2
2022-07-05 ,      0 ,       4 ,40_43                ,       7852.0             ,          190 ,                10 ,       97 ,       70.5 ,          20.3 ,           24.8 ,         24.8 ,         25.7 ,                   2
2022-07-12 ,      0 ,       4 ,38                   ,       7935.0             ,          197 ,                 7 ,       83 ,       70.5 ,          20.3 ,           24.8 ,         24.8 ,         25.7 ,                   1
2022-08-06 ,      0 ,       4 ,9_49                 ,       8136.0             ,          222 ,                25 ,      201 ,       75.5 ,          20.3 ,           24.8 ,         24.8 ,         25.7 ,                   2
2021-12-27 ,      0 ,       5 ,26_49                ,       5116.0             ,            0 ,                25 ,      377 ,       59.5 ,          20.3 ,           24.8 ,         25.1 ,         24.5 ,                   2
2022-01-09 ,      0 ,       5 ,24_96_102            ,       5394.0             ,           13 ,                13 ,      278 ,       59.5 ,          20.3 ,           24.8 ,         25.1 ,         24.5 ,                   3
2022-02-10 ,      0 ,       5 ,45_85                ,       5983.0             ,           45 ,                32 ,      589 ,       61.5 ,          20.3 ,           24.8 ,         25.1 ,         24.5 ,                   2
2022-02-27 ,      0 ,       5 ,85_88_108            ,       6171.0             ,           62 ,                17 ,      188 ,       63.5 ,          20.3 ,           24.8 ,         25.1 ,         24.5 ,                   3
2022-03-21 ,      0 ,       5 ,34_63_95             ,       6573.0             ,           84 ,                22 ,      402 ,       65.5 ,          20.3 ,           24.8 ,         25.1 ,         24.5 ,                   3
2022-04-03 ,      0 ,       5 ,72_113               ,       6824.0             ,           97 ,                13 ,      251 ,       65.5 ,          20.3 ,           24.8 ,         25.1 ,         24.5 ,                   2
2022-04-14 ,      0 ,       5 ,39_89                ,       6996.0             ,          108 ,                11 ,      172 ,       65.5 ,          20.3 ,           24.8 ,         25.1 ,         24.5 ,                   2
2022-05-02 ,      0 ,       5 ,68_105               ,       7333.0             ,          126 ,                18 ,      337 ,       70.5 ,          20.3 ,           24.8 ,         25.1 ,         24.5 ,                   2
2022-05-06 ,      0 ,       5 ,23_107_115           ,       7392.0             ,          130 ,                 4 ,       59 ,       70.5 ,          20.3 ,           24.8 ,         25.1 ,         24.5 ,                   3
2022-06-04 ,      0 ,       5 ,10_28_91             ,       7941.0             ,          159 ,                29 ,      549 ,       70.5 ,          20.3 ,           24.8 ,         25.1 ,         24.5 ,                   3
2022-06-14 ,      0 ,       5 ,15_21_100            ,       8127.0             ,          169 ,                10 ,      186 ,       75.5 ,          20.3 ,           24.8 ,         25.1 ,         24.5 ,                   3
2022-06-18 ,      0 ,       5 ,1_25_43              ,       8163.0             ,          173 ,                 4 ,       36 ,       75.5 ,          20.3 ,           24.8 ,         25.1 ,         24.5 ,                   3
2022-06-20 ,      0 ,       5 ,109_111_121          ,       8221.0             ,          175 ,                 2 ,       58 ,       75.5 ,          20.3 ,           24.8 ,         25.1 ,         24.5 ,                   3
2022-06-28 ,      0 ,       5 ,66_67_78             ,       8345.0             ,          183 ,                 8 ,      124 ,       75.5 ,          20.3 ,           24.8 ,         25.1 ,         24.5 ,                   3
2022-07-08 ,      0 ,       5 ,51_86_87_88          ,       8462.0             ,          193 ,                10 ,      117 ,       75.5 ,          20.3 ,           24.8 ,         25.1 ,         24.5 ,                   4
2022-07-30 ,      0 ,       5 ,22_88                ,       8654.0             ,          215 ,                22 ,      192 ,       75.5 ,          20.3 ,           24.8 ,         25.1 ,         24.5 ,                   2
2022-01-09 ,      0 ,       6 ,79_110               ,       5284.0             ,           13 ,                25 ,      377 ,       59.5 ,          20.3 ,           24.8 ,         24.8 ,         23.8 ,                   2
2022-03-04 ,      0 ,       6 ,10_30_89_105         ,       6411.0             ,           67 ,                54 ,     1127 ,       63.5 ,          20.3 ,           24.8 ,         24.8 ,         23.8 ,                   4
2022-04-22 ,      0 ,       6 ,19_30_43             ,       7399.0             ,          116 ,                49 ,      988 ,       70.5 ,          20.3 ,           24.8 ,         24.8 ,         23.8 ,                   3
2022-04-29 ,      0 ,       6 ,27_32_63_117         ,       7534.0             ,          123 ,                 7 ,      135 ,       70.5 ,          20.3 ,           24.8 ,         24.8 ,         23.8 ,                   4
2022-05-17 ,      0 ,       6 ,24_41_87             ,       7876.0             ,          141 ,                18 ,      342 ,       70.5 ,          20.3 ,           24.8 ,         24.8 ,         23.8 ,                   3
2022-06-04 ,      0 ,       6 ,25_83_92             ,       8239.0             ,          159 ,                18 ,      363 ,       75.5 ,          20.3 ,           24.8 ,         24.8 ,         23.8 ,                   3
2022-06-15 ,      0 ,       6 ,15_96                ,       8458.0             ,          170 ,                11 ,      219 ,       75.5 ,          20.3 ,           24.8 ,         24.8 ,         23.8 ,                   2
2022-06-27 ,      0 ,       6 ,35_106_108_111       ,       8343.0             ,          182 ,                12 ,      193 ,       75.5 ,          20.3 ,           24.8 ,         24.8 ,         23.8 ,                   4
2022-08-24 ,      0 ,       6 ,31_55_82             ,       9326.0             ,          240 ,                58 ,      983 ,       80.5 ,          20.3 ,           24.8 ,         24.8 ,         23.8 ,                   3
2022-01-04 ,      0 ,       7 ,59_89_109            ,       5011.0             ,            8 ,                25 ,      377 ,       59.5 ,          20.3 ,           24.8 ,         25.1 ,         25.1 ,                   3
2022-02-27 ,      0 ,       7 ,50_81_100            ,       6042.0             ,           62 ,                54 ,     1031 ,       63.5 ,          20.3 ,           24.8 ,         25.1 ,         25.1 ,                   3
2022-04-03 ,      0 ,       7 ,40_52_115            ,       6782.0             ,           97 ,                35 ,      740 ,       65.5 ,          20.3 ,           24.8 ,         25.1 ,         25.1 ,                   3
2022-05-17 ,      0 ,       7 ,24_68_117            ,       7614.0             ,          141 ,                44 ,      832 ,       70.5 ,          20.3 ,           24.8 ,         25.1 ,         25.1 ,                   3
2022-05-25 ,      0 ,       7 ,77_100               ,       7640.974090322881  ,          149 ,                 8 ,       26 ,       70.5 ,          20.3 ,           24.8 ,         25.1 ,         25.1 ,                   2
2022-06-11 ,      0 ,       7 ,64_97_104            ,       8114.0             ,          166 ,                17 ,      473 ,       75.5 ,          20.3 ,           24.8 ,         25.1 ,         25.1 ,                   3
2022-06-22 ,      0 ,       7 ,10_17_51             ,       8039.0             ,          177 ,                11 ,      178 ,       75.5 ,          20.3 ,           24.8 ,         25.1 ,         25.1 ,                   3
2022-07-05 ,      0 ,       7 ,82_96                ,       8472.0             ,          190 ,                13 ,      433 ,       75.5 ,          20.3 ,           24.8 ,         25.1 ,         25.1 ,                   2
2022-07-14 ,      0 ,       7 ,107                  ,       8558.0             ,          199 ,                 9 ,       86 ,       75.5 ,          20.3 ,           24.8 ,         25.1 ,         25.1 ,                   1
2022-07-18 ,      0 ,       7 ,17                   ,       8659.0             ,          203 ,                 4 ,      101 ,       75.5 ,          20.3 ,           24.8 ,         25.1 ,         25.1 ,                   1
2022-08-22 ,      0 ,       7 ,43_87_112            ,       8956.0             ,          238 ,                35 ,      297 ,       75.5 ,          20.3 ,           24.8 ,         25.1 ,         25.1 ,                   3
2022-08-30 ,      0 ,       7 ,25_70_118            ,       9056.0             ,          246 ,                 8 ,      100 ,       80.5 ,          20.3 ,           24.8 ,         25.1 ,         25.1 ,                   3
2022-02-03 ,      0 ,       8 ,100_113_117          ,       5940.0             ,           38 ,                25 ,      377 ,       61.5 ,          20.3 ,           24.8 ,         25.0 ,         24.6 ,                   3
2022-02-27 ,      0 ,       8 ,12_56_111            ,       6344.0             ,           62 ,                24 ,      404 ,       63.5 ,          20.3 ,           24.8 ,         25.0 ,         24.6 ,                   3
2022-04-07 ,      0 ,       8 ,19_15_115            ,       7096.0             ,          101 ,                39 ,      752 ,       70.5 ,          20.3 ,           24.8 ,         25.0 ,         24.6 ,                   3
2022-04-18 ,      0 ,       8 ,8_41_58              ,       7270.0             ,          112 ,                11 ,      174 ,       70.5 ,          20.3 ,           24.8 ,         25.0 ,         24.6 ,                   3
2022-04-29 ,      0 ,       8 ,5_53_85              ,       7469.0             ,          123 ,                11 ,      199 ,       70.5 ,          20.3 ,           24.8 ,         25.0 ,         24.6 ,                   3
2022-05-09 ,      0 ,       8 ,87_106               ,       7624.0             ,          133 ,                10 ,      155 ,       70.5 ,          20.3 ,           24.8 ,         25.0 ,         24.6 ,                   2
2022-05-17 ,      0 ,       8 ,13_55_118            ,       7774.0             ,          141 ,                 8 ,      150 ,       70.5 ,          20.3 ,           24.8 ,         25.0 ,         24.6 ,                   3
2022-05-21 ,      0 ,       8 ,17_110_119           ,       7846.0             ,          145 ,                 4 ,       72 ,       70.5 ,          20.3 ,           24.8 ,         25.0 ,         24.6 ,                   3
2022-06-09 ,      0 ,       8 ,26_79                ,       8221.0             ,          164 ,                19 ,      375 ,       75.5 ,          20.3 ,           24.8 ,         25.0 ,         24.6 ,                   2
2022-06-11 ,      0 ,       8 ,49_95_105            ,       8266.0             ,          166 ,                 2 ,       45 ,       75.5 ,          20.3 ,           24.8 ,         25.0 ,         24.6 ,                   3
2022-06-20 ,      0 ,       8 ,34_45                ,       8391.0             ,          175 ,                 9 ,      125 ,       75.5 ,          20.3 ,           24.8 ,         25.0 ,         24.6 ,                   2
2022-06-24 ,      0 ,       8 ,21_92_121            ,       8459.0             ,          179 ,                 4 ,       68 ,       75.5 ,          20.3 ,           24.8 ,         25.0 ,         24.6 ,                   3
2022-07-07 ,      0 ,       8 ,6_37_48              ,       8545.318225004354  ,          192 ,                13 ,       86 ,       75.5 ,          20.3 ,           24.8 ,         25.0 ,         24.6 ,                   3
2022-08-10 ,      0 ,       8 ,35_36                ,       8955.0             ,          226 ,                34 ,      409 ,       75.5 ,          20.3 ,           24.8 ,         25.0 ,         24.6 ,                   2
2022-08-30 ,      0 ,       8 ,32_43_29             ,       9161.0             ,          246 ,                20 ,      206 ,       80.5 ,          20.3 ,           24.8 ,         25.0 ,         24.6 ,                   3
2022-01-14 ,      0 ,       9 ,72                   ,       5235.0             ,           18 ,                25 ,      377 ,       59.5 ,          20.3 ,           24.8 ,         27.9 ,         26.9 ,                   1
2022-04-11 ,      0 ,       9 ,15_39                ,       7002.0             ,          105 ,                87 ,     1767 ,       70.5 ,          20.3 ,           24.8 ,         27.9 ,         26.9 ,                   2
2022-04-20 ,      0 ,       9 ,62_54                ,       7147.0             ,          114 ,                 9 ,      145 ,       70.5 ,          20.3 ,           24.8 ,         27.9 ,         26.9 ,                   2
2022-04-22 ,      0 ,       9 ,1_23                 ,       7183.0             ,          116 ,                 2 ,       36 ,       70.5 ,          20.3 ,           24.8 ,         27.9 ,         26.9 ,                   2
2022-05-09 ,      0 ,       9 ,50_113               ,       7483.0             ,          133 ,                17 ,      300 ,       70.5 ,          20.3 ,           24.8 ,         27.9 ,         26.9 ,                   2
2022-05-21 ,      0 ,       9 ,21_28_87             ,       7722.0             ,          145 ,                12 ,      239 ,       70.5 ,          20.3 ,           24.8 ,         27.9 ,         26.9 ,                   3
2022-05-28 ,      0 ,       9 ,72_73                ,       7867.0             ,          152 ,                 7 ,      145 ,       70.5 ,          20.3 ,           24.8 ,         27.9 ,         26.9 ,                   2
2022-05-29 ,      0 ,       9 ,6_31                 ,       7876.0             ,          153 ,                 1 ,        9 ,       70.5 ,          20.3 ,           24.8 ,         27.9 ,         26.9 ,                   2
2022-06-09 ,      0 ,       9 ,106                  ,       8100.0             ,          164 ,                11 ,      224 ,       75.5 ,          20.3 ,           24.8 ,         27.9 ,         26.9 ,                   1
2022-06-10 ,      0 ,       9 ,24_102               ,       8119.0             ,          165 ,                 1 ,       19 ,       75.5 ,          20.3 ,           24.8 ,         27.9 ,         26.9 ,                   2
2022-06-11 ,      0 ,       9 ,10_59_108            ,       8136.0             ,          166 ,                 1 ,       17 ,       75.5 ,          20.3 ,           24.8 ,         27.9 ,         26.9 ,                   3
2022-06-15 ,      0 ,       9 ,66_90                ,       8203.0             ,          170 ,                 4 ,       67 ,       75.5 ,          20.3 ,           24.8 ,         27.9 ,         26.9 ,                   2
2022-06-17 ,      0 ,       9 ,34_81                ,       8233.0             ,          172 ,                 2 ,       30 ,       75.5 ,          20.3 ,           24.8 ,         27.9 ,         26.9 ,                   2
2022-07-08 ,      0 ,       9 ,5_20                 ,       8547.0             ,          193 ,                21 ,      314 ,       75.5 ,          20.3 ,           24.8 ,         27.9 ,         26.9 ,                   2
2022-08-10 ,      0 ,       9 ,70_79                ,       8842.0             ,          226 ,                33 ,      295 ,       75.5 ,          20.3 ,           24.8 ,         27.9 ,         26.9 ,                   2
2022-08-30 ,      0 ,       9 ,13_64                ,       9047.0             ,          246 ,                20 ,      205 ,       80.5 ,          20.3 ,           24.8 ,         27.9 ,         26.9 ,                   2
2022-01-25 ,      0 ,      10 ,23_28_36             ,       5628.0             ,           29 ,                25 ,      377 ,       61.5 ,          20.3 ,           24.8 ,         26.1 ,         25.9 ,                   3
2022-04-28 ,      0 ,      10 ,60_75_93             ,       7488.0             ,          122 ,                93 ,     1860 ,       70.5 ,          20.3 ,           24.8 ,         26.1 ,         25.9 ,                   3
2022-05-04 ,      0 ,      10 ,15_37_117            ,       7565.0             ,          128 ,                 6 ,       77 ,       70.5 ,          20.3 ,           24.8 ,         26.1 ,         25.9 ,                   3
2022-05-18 ,      0 ,      10 ,79_113_116           ,       7822.0             ,          142 ,                14 ,      257 ,       70.5 ,          20.3 ,           24.8 ,         26.1 ,         25.9 ,                   3
2022-05-21 ,      0 ,      10 ,13_76_101            ,       7879.0             ,          145 ,                 3 ,       57 ,       70.5 ,          20.3 ,           24.8 ,         26.1 ,         25.9 ,                   3
2022-06-06 ,      0 ,      10 ,21_97_104            ,       8171.0             ,          161 ,                16 ,      292 ,       75.5 ,          20.3 ,           24.8 ,         26.1 ,         25.9 ,                   3
2022-06-14 ,      0 ,      10 ,58_86_88             ,       8335.0             ,          169 ,                 8 ,      164 ,       75.5 ,          20.3 ,           24.8 ,         26.1 ,         25.9 ,                   3
2022-08-03 ,      0 ,      10 ,10_24_56             ,       8966.0             ,          219 ,                50 ,      631 ,       75.5 ,          20.3 ,           24.8 ,         26.1 ,         25.9 ,                   3
2022-01-04 ,      0 ,      11 ,32_81                ,       5226.0             ,            8 ,                25 ,      377 ,       59.5 ,          20.0 ,           24.6 ,         29.6 ,         25.9 ,                   2
2022-01-29 ,      0 ,      11 ,7_45_46              ,       5722.0             ,           33 ,                25 ,      496 ,       61.5 ,          20.0 ,           24.6 ,         29.6 ,         25.9 ,                   3
2022-03-04 ,      0 ,      11 ,36_48_86             ,       6403.0             ,           67 ,                34 ,      681 ,       63.5 ,          20.0 ,           24.6 ,         29.6 ,         25.9 ,                   3
2022-03-21 ,      0 ,      11 ,12_52_67             ,       6758.0             ,           84 ,                17 ,      355 ,       65.5 ,          20.0 ,           24.6 ,         29.6 ,         25.9 ,                   3
2022-03-26 ,      0 ,      11 ,56_109_106           ,       6842.0             ,           89 ,                 5 ,       84 ,       65.5 ,          20.0 ,           24.6 ,         29.6 ,         25.9 ,                   3
2022-04-09 ,      0 ,      11 ,13_114_115           ,       7069.0             ,          103 ,                14 ,      227 ,       70.5 ,          20.0 ,           24.6 ,         29.6 ,         25.9 ,                   3
2022-04-26 ,      0 ,      11 ,20_55_60             ,       7340.0             ,          120 ,                17 ,      271 ,       70.5 ,          20.0 ,           24.6 ,         29.6 ,         25.9 ,                   3
2022-05-15 ,      0 ,      11 ,23_39_70             ,       7705.0             ,          139 ,                19 ,      365 ,       70.5 ,          20.0 ,           24.6 ,         29.6 ,         25.9 ,                   3
